AppName,GroupId,GroupName,GroupCreated,GroupAdminUrl,IsTeam,TeamArchived,OwnerCount,MemberCount,LMSIssuerName,LTIContextId,CourseName,SiteId,SiteWebUrl,SiteStorageQuota,SiteStorageUsage,SiteArchiveStatus,DriveCount,DriveId,DriveName,DriveSize,ItemCount,ItemName,ItemPath,ItemType,ItemSize,ItemCreated,ItemModified,ItemWebUrl
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-J8RmBWqoB_S5LfA2RTeXRJ,Documents,0,0,,,,,,,
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-KDv0ZrLWlxS5IKynY3M7nX,OneDriveLTIFiles,,,Cloud Assignment Templates,Cloud Assignment Templates,Folder,0,11/15/2024 16:16,11/15/2024 16:16,https://contososdorg.sharepoint.com/sites/8c231c1646/OneDriveLTIFiles/Cloud%20Assignment%20Templates
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-KDv0ZrLWlxS5IKynY3M7nX,OneDriveLTIFiles,,,Shared Items,Shared Items,Folder,0,11/15/2024 16:16,11/15/2024 16:16,https://contososdorg.sharepoint.com/sites/8c231c1646/OneDriveLTIFiles/Shared%20Items
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-KDv0ZrLWlxS5IKynY3M7nX,OneDriveLTIFiles,,,Student Work,Student Work,Folder,0,11/15/2024 16:16,11/15/2024 16:16,https://contososdorg.sharepoint.com/sites/8c231c1646/OneDriveLTIFiles/Student%20Work
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-KDv0ZrLWlxS5IKynY3M7nX,OneDriveLTIFiles,,,Unpublished Files,Unpublished Files,Folder,18769,11/15/2024 16:16,11/15/2024 16:16,https://contososdorg.sharepoint.com/sites/8c231c1646/OneDriveLTIFiles/Unpublished%20Files
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-KDv0ZrLWlxS5IKynY3M7nX,OneDriveLTIFiles,,,Persuasive Essay.docx,Unpublished Files/Persuasive Essay.docx,File,18769,11/15/2024 16:17,11/15/2024 16:17,https://contososdorg.sharepoint.com/sites/8c231c1646/_layouts/15/Doc.aspx?sourcedoc=%7BD25FB85F-3524-4B64-818F-CB7218CABA36%7D&file=Persuasive%20Essay.docx&action=default&mobileredirect=true
OneDriveLTI,17180efe-a2d8-48fe-a2dd-a14a79d228ad,Course: OneDrive LTI Test Course: Section 1,11/15/2024 16:16,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/17180efe-a2d8-48fe-a2dd-a14a79d228ad,FALSE,N/A,1,0,Schoology,7597544698,OneDrive LTI Test Course: Section 1,"contososdorg.sharepoint.com,f1e6c0bf-50c7-47ef-88c5-4d77a46aec65,709c1e2e-1b2b-46be-a465-69b739c603e2",https://contososdorg.sharepoint.com/sites/8c231c1646,1.09951E+12,1471868,None,2,b!v8Dm8cdQ70eIxU13pGrsZS4enHArG75GpGVptznGA-KDv0ZrLWlxS5IKynY3M7nX,OneDriveLTIFiles,18769,5,,,,,,,
OneDriveLTI,18671adc-ebef-4c01-bf9f-6d825158d658,Course: SPO Create Test: Section 1,12/17/2024 23:03,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/18671adc-ebef-4c01-bf9f-6d825158d658,FALSE,N/A,1,0,Schoology,7638446637,SPO Create Test: Section 1,"contososdorg.sharepoint.com,85154083-e276-4df6-b43c-7772b1e0a74a,b6794251-5337-4816-90d7-04f89521ca3f",https://contososdorg.sharepoint.com/sites/9d43bcf4c0,2.74878E+13,1448422,None,2,b!g0AVhXbi9k20PHdyseCnSlFCebY3UxZIkNcE-JUhyj__Dh4yCcqvSbz4IfZWNzD5,Documents,0,0,,,,,,,
OneDriveLTI,18671adc-ebef-4c01-bf9f-6d825158d658,Course: SPO Create Test: Section 1,12/17/2024 23:03,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/18671adc-ebef-4c01-bf9f-6d825158d658,FALSE,N/A,1,0,Schoology,7638446637,SPO Create Test: Section 1,"contososdorg.sharepoint.com,85154083-e276-4df6-b43c-7772b1e0a74a,b6794251-5337-4816-90d7-04f89521ca3f",https://contososdorg.sharepoint.com/sites/9d43bcf4c0,2.74878E+13,1448422,None,2,b!g0AVhXbi9k20PHdyseCnSlFCebY3UxZIkNcE-JUhyj82K3TaFQP_QYiLo9b8Sz-w,OneDriveLTIFiles,,,Cloud Assignment Templates,Cloud Assignment Templates,Folder,0,12/17/2024 23:03,12/17/2024 23:03,https://contososdorg.sharepoint.com/sites/9d43bcf4c0/OneDriveLTIFiles/Cloud%20Assignment%20Templates
OneDriveLTI,18671adc-ebef-4c01-bf9f-6d825158d658,Course: SPO Create Test: Section 1,12/17/2024 23:03,https://admin.cloud.microsoft/?#/groups/:/TeamDetails/18671adc-ebef-4c01-bf9f-6d825158d658,FALSE,N/A,1,0,Schoology,7638446637,SPO Create Test: Section 1,"contososdorg.sharepoint.com,85154083-e276-4df6-b43c-7772b1e0a74a,b6794251-5337-4816-90d7-04f89521ca3f",https://contososdorg.sharepoint.com/sites/9d43bcf4c0,2.74878E+13,1448422,None,2,b!g0AVhXbi9k20PHdyseCnSlFCebY3UxZIkNcE-JUhyj82K3TaFQP_QYiLo9b8Sz-w,OneDriveLTIFiles,,,Shared Items,Shared Items,Folder,0,12/17/2024 23:03,12/17/2024 23:03,https://contososdorg.sharepoint.com/sites/9d43bcf4c0/OneDriveLTIFiles/Shared%20Items
