SIS ID,School SIS ID,First Name,Last Name,Username,Password,State ID,Secondary Email,Student Number,Middle Name,Grade,Status,Birthdate,Graduation Year
13001,10001,Ora,Klein,OKlein,P@ssword,WA,,13001,Christopher,9,Active,4/2/2000,2019
13002,10001,Beulah,McMillan,BMcMillan,P@ssword,WA,,13002,Lynn,10,Active,11/12/1999,2018
13003,10001,Florence,Stark,FStark,P@ssword,WA,,13003,Brian,12,Active,12/19/1997,2016
13004,10001,Noah,Gilbertson,NGilbertson,P@ssword,WA,,13004,Daniel,9,Active,6/20/2000,2019
13005,10001,Erna,Parker,EParker,P@ssword,WA,,13005,Troy,11,Active,5/17/1998,2017
13006,10001,Sherry,Santana,SSantana,P@ssword,WA,,13006,Thomas,10,Active,8/22/1999,2018
13007,10001,Ronald,Lees,RLees,P@ssword,WA,,13012,Grace,9,Active,5/11/1998,2019
13008,10001,Latasha,Pratt,LPratt,P@ssword,WA,,13013,Christopher,11,Active,8/13/1999,2016
13009,10001,Misty,Thomas,MThomas,P@ssword,WA,,13014,Lynn,10,Active,7/6/2000,2017
13010,10001,Petra,Barlow,PBarlow,P@ssword,WA,,13015,Francis,9,Active,3/19/1997,2019
13011,10001,Bonnie,Hampton,PHampton,P@ssword,WA,,13016,Robert,12,Active,4/10/1998,2017
13012,10001,Dion,Matheson,DMatheson,P@ssword,WA,,13017,James,10,Active,5/17/1999,2017
13013,10001,Cesar,McCray,CMcCray,P@ssword,WA,,13018,Wilma,9,Active,2/17/2001,2020
13014,10001,Rickey,Cottle,Rcottle,P@ssword,WA,,13019,Forrest,10,Active,8/9/2000,2019
13015,10001,Fredrick,Markley,Fmarkley,P@ssword,WA,,13020,Noah,11,Active,6/17/1999,2018
13016,10001,Joshua,Bartels,Jbartels,P@ssword,WA,,13021,Tracy,9,Active,3/19/2001,2020
13017,10001,Maribel,Parsons,Mparsons,P@ssword,WA,,13022,Delmar,10,Active,3/10/2000,2019
13018,10001,Erma,Ballard,Eballard,P@ssword,WA,,13023,Maya,12,Active,4/3/1998,2017
13019,10001,Wilfred,Bevins,Wbevins,P@ssword,WA,,13024,Casey,9,Active,4/13/2001,2020
13020,10001,Rogelio,Cazares,Rcazares,P@ssword,WA,,13025,Hal,10,Active,2/1/2000,2019
13021,10001,Dixie,Morrison,Dmorrison,P@ssword,WA,,13026,Chris,11,Active,8/12/1999,2018
13022,10001,Williams,Bisson,Wbisson,P@ssword,WA,,13027,Roxanne,9,Active,3/6/2001,2020
13023,10001,Christie,Clayton,Cclayton,P@ssword,WA,,13028,Sherman,10,Active,7/2/2000,2019
